5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM
39,84,101,149,157,186,175,200.6745562,149,162,203,242,236,205,285,238,235,146,60.26476378
12.35882353,85,115,151,153,149,200,207,161,158,193,282,299,304,270,202,233,239,60.26476378
30,68,90,132,146,161,150,176,114,206,251,233,250,289.996063,261,250,230,194,70.82775591
28,74,90,105,111,124,143,184,154,163,172,242,225,232,218,211,167,141,67.82775591
19.50392157,53.54313725,68.03339882,63,119,136,154,135,151,159,146,228.0738189,196.117126,222,186.7204724,123,107,108.5462598,74
19.50392157,53.54313725,68.03339882,39,90,134,162,168,151,183,204,206,163,156,213,167,119,100,78
9,34,57,70,100,123,185,237,239,188,164,204,194,199,231,240,207,195,108.4370079
14.35882353,88,111,163,137,172,177,207,168,211,249,292,271,291,280,295,323,278,60.26476378
41.14509804,86,134,127,148,131,187,232,162,148,243,219,241,255,304,263,272,207,67.82775591
42,91,141,160,150,144,168,172,158,181,216,225,215,244,246,238,236,189,139.4370079
19.50392157,10,16,16,107.0147348,117.9479371,83,78,71,155.5570866,169.7086614,97,110,111,106,83,163.4527559,143.8238189,60.26476378
23,72,121,91,106,133,170,197,199,190,205,196,215,233,191.2903543,211,154,118,99
19.50392157,53.54313725,68.03339882,59,159,166,173,164,180,177,178,180,174,183,172,113,73,84,60.26476378
19.50392157,53.54313725,68.03339882,31,80,69,94,131,150,159,148,212,188,176,186,160.7322835,100,125,89
46,95,144,155,146,160.8497053,161,162,161,173,198,188,216,214,278,236,215,160.6387795,60.26476378
3,108,133,147.5707269,132,167,196,226,214,189,203,234,276,243,209,208,215,193,60.26476378
18,80,106,115,132,109,141,217,185,151,182,240,260,261,270.2903543,290,274,245,207
50,91,111,138,129,149,167,171,157,156,185,237,264,278,254,235,201,170,90.21850394
36,49,79,76.57072692,95,102,172,187,142,131,174,209,234,274,274,178,169.4015748,157,60.26476378
19.50392157,53.54313725,68.03339882,63,165,177,126,146,137,136,142,157,158,177,188,173,141,120,83.82775591
19.50392157,53.54313725,30.15717092,55,93,123,141,148.6745562,154,187,186,184,158,159,154,142,111,124,78.82775591
19.50392157,16,22,36,35,51,54,53,54,68,83,99,105,108,126,106,163.4527559,143.8238189,60.26476378
57,120,148,156,136,139,152,156,132,146,157,194,266,284,300.4301181,269,232,217,60.26476378
6,82,117,158,159,179,168,206,196,173,176,237,258,243,239,225,210,179,60.26476378
19.50392157,21,25,54,32,41,71,63,65,72,81,97,117,149,147,176.1968504,163.4527559,143.8238189,60.26476378
19.50392157,18,25,40,50,76,56,66,66,87,86,127.0738189,196.117126,103,146.2903543,132.1968504,163.4527559,143.8238189,60.26476378
19.50392157,22,33,55,91,168,160.5551181,110,122,124,106,110,178.0669291,194.996063,152,137,163.4527559,143.8238189,60.26476378
19.50392157,53.54313725,68.03339882,44,99,112,103,103,114,107,169.7086614,152.0738189,145,186,154,194.1259843,163.4527559,143.8238189,60.26476378
19.50392157,53.54313725,68.03339882,29,74,124,169,169,159,159,183,212,241,184,150,121,92,79,60.26476378
18,100,137,145,145,131,136,176,179,186,234,233.0984252,246.0669291,272,337,262,242,235,209
44,82,101,145,127,130,179,205,204,157,206,199,220,219,270,231,222,200,191
18,77,61,96,115,126,154,162,143,170,178,203,223,233,221,174,167,133,139
19.50392157,53.54313725,68.03339882,64,170,159,171,165,164,159,168,163,160,167,147,134,120,150,114.4370079
19.50392157,53.54313725,0,26,80,114,124,128,130,197,229,191,125,127,90,92,99,98,72.82775591
50,88,106,117,116,129,131,132,136,184,209,227,231,259,281,246,259,236,60.26476378
15,74,85,115,136,137,171,192,165,177,214,240,241,195.4970472,252,248,226,206,60.26476378
52,96,110,114,103,123,138,161,170,159,183,196,182,214,284,281,286,231,229
34,82,98,112,111,114,153,145,149,135,179.976378,205,231,270,278,249,233,227,60.26476378
12.78627451,83,66,94,100,107,114,152,154,164,174,225,220,226,249,206,147,170,60.26476378
19.50392157,53.54313725,68.03339882,73,129,161,156,139,140,146,162,156,157,148,130,100,156.4015748,111,102.8277559
19.50392157,53.54313725,38.8762279,28,72.28781925,116,118,109,157,155.2224409,155,153,137,137,107,179.9291339,144,180,92
36,69,93,132,140,129,149,203,168,175,189,232,279,268,230,178,218,179,165
24,34,45,82,113,135,141,145,152,133,154,170,188,210,189,181,156,158.6387795,139.609252
24,87,116,119,107,127,164,205,196,161,178,204,197,202,314,268,188.0511811,241,60.26476378
32,93,127,124,125,128,170,191,148,154,182,179,203,209,261,283,274,232,60.26476378
16,69,98,127,112,123,138,149,153,160,179,203,209.0501969,296,273,266,220,219,60.26476378
16,62,57,73,92,99,135,165,167,177,181.976378,242,305,288,225,158,170,151,132
19.50392157,53.54313725,68.03339882,67,145,164,185,160,171,180,185,204.0984252,159,206.4931102,174,196.9291339,135.0511811,128,83.43700787
