Facility,Location,Date,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,Total Count,Status
Marino Recreation Center,Marino Center - Track,1/2/23 0:00,,1,1,0,,,4,5,3,,,4,5,6,3,1,,,,32,Active
Marino Recreation Center,Marino Center - Studio A,1/2/23 0:00,,0,0,0,,,2,1,0,,,3,2,1,3,1,,,,13,Active
Marino Recreation Center,Marino Center - Studio B,1/2/23 0:00,,0,0,0,,,4,1,0,,,2,3,2,2,1,,,,15,Active
Marino Recreation Center,Marino Center - Gymnasium,1/2/23 0:00,,1,1,0,,,8,5,5,,,17,21,26,25,24,,,,132,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,1/2/23 0:00,,1,3,4,,,23,24,22,,,23,24,26,32,22,,,,203,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,1/2/23 0:00,,4,7,8,,,26,29,29,,,28,37,31,24,20,,,,242,Active
Marino Recreation Center,Marino Center - 2nd Floor,1/2/23 0:00,,3,4,4,,,16,13,12,,,20,18,19,17,14,,,,140,Active
Marino Recreation Center,Marino Center - Track,1/3/23 0:00,,1,2,3,4,0,0,1,3,1,1,2,3,3,3,2,,,,28,Active
Marino Recreation Center,Marino Center - Studio A,1/3/23 0:00,,0,1,0,0,2,1,1,2,0,1,1,1,1,3,4,,,,19,Active
Marino Recreation Center,Marino Center - Studio B,1/3/23 0:00,,0,1,0,0,1,1,1,2,0,1,2,2,2,2,3,,,,16,Active
Marino Recreation Center,Marino Center - Gymnasium,1/3/23 0:00,,0,1,1,1,4,3,1,3,13,20,27,26,24,24,19,,,,165,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,1/3/23 0:00,,4,6,12,10,9,13,17,11,11,11,17,26,32,33,23,,,,233,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,1/3/23 0:00,,6,7,13,14,18,24,18,18,23,23,28,26,29,36,26,,,,308,Active
Marino Recreation Center,Marino Center - 2nd Floor,1/3/23 0:00,,5,4,7,6,17,12,14,15,20,26,22,21,17,25,29,,,,238,Active
Marino Recreation Center,Marino Center - Track,1/4/23 0:00,,1,1,3,1,1,1,4,3,3,4,4,7,11,4,,,,,46,Active
Marino Recreation Center,Marino Center - Studio A,1/4/23 0:00,,0,1,1,0,2,2,1,1,1,3,3,1,2,5,4,,,,25,Active
Marino Recreation Center,Marino Center - Studio B,1/4/23 0:00,,0,0,0,0,1,1,0,1,1,2,2,1,1,11,3,,,,23,Active
Marino Recreation Center,Marino Center - Gymnasium,1/4/23 0:00,,0,1,4,6,4,11,7,6,13,15,18,27,26,33,41,,,,210,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,1/4/23 0:00,,5,6,25,6,12,17,17,18,17,17,24,33,43,30,,,,,270,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,1/4/23 0:00,,9,10,15,12,11,18,18,23,25,25,28,28,36,31,,,,,288,Active
Marino Recreation Center,Marino Center - 2nd Floor,1/4/23 0:00,,6,6,6,7,10,21,16,13,12,15,18,20,30,33,45,,,,256,Active
Marino Recreation Center,Marino Center - Track,1/5/23 0:00,,1,2,1,1,1,2,1,1,3,2,,,4,,,,,,17,Active
Marino Recreation Center,Marino Center - Studio A,1/5/23 0:00,,0,0,1,1,1,3,2,2,2,1,1,,1,3,3,,,,18,Active
Marino Recreation Center,Marino Center - Studio B,1/5/23 0:00,,2,0,1,1,2,2,2,2,3,2,4,,3,4,3,,,,26,Active
Marino Recreation Center,Marino Center - Gymnasium,1/5/23 0:00,,1,1,2,1,4,7,6,8,20,19,23,,22,22,19,,,,152,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,1/5/23 0:00,,5,11,13,13,21,13,22,20,15,15,,,19,,,,,,165,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,1/5/23 0:00,,5,6,13,18,23,15,19,16,30,31,,,37,,,,,,211,Active
Marino Recreation Center,Marino Center - 2nd Floor,1/5/23 0:00,,4,5,9,15,24,14,14,17,14,16,18,,17,26,24,,,,214,Active
Marino Recreation Center,Marino Center - Track,1/6/23 0:00,,1,2,2,2,6,1,2,5,3,3,2,4,5,8,8,,,,50,Active
Marino Recreation Center,Marino Center - Studio A,1/6/23 0:00,,1,1,0,2,3,,2,3,1,1,1,,,3,2,,,,20,Active
Marino Recreation Center,Marino Center - Studio B,1/6/23 0:00,,0,0,0,2,3,,1,2,3,1,3,,,4,3,,,,22,Active
Marino Recreation Center,Marino Center - Gymnasium,1/6/23 0:00,,0,1,5,9,3,,19,24,31,27,30,,,27,23,,,,198,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,1/6/23 0:00,,5,9,16,18,47,39,32,29,25,23,24,23,27,32,34,,,,381,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,1/6/23 0:00,,8,10,14,34,47,42,27,35,38,29,28,39,45,48,39,,,,482,Active
Marino Recreation Center,Marino Center - 2nd Floor,1/6/23 0:00,,7,10,18,24,59,,27,24,23,22,22,,,30,28,,,,293,Active
Marino Recreation Center,Marino Center - Track,1/7/23 0:00,,,,1,2,1,1,2,3,3,,,4,3,5,,,,,23,Active
Marino Recreation Center,Marino Center - Studio A,1/7/23 0:00,,,,2,1,4,3,3,3,2,,3,4,6,4,,,,,33,Active
Marino Recreation Center,Marino Center - Studio B,1/7/23 0:00,,,,0,0,2,1,2,2,2,,2,5,5,3,,,,,23,Active
Marino Recreation Center,Marino Center - Gymnasium,1/7/23 0:00,,,,8,26,22,21,18,16,25,,42,41,45,33,,,,,296,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,1/7/23 0:00,,,,7,25,29,26,25,26,26,,,30,47,44,,,,,284,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,1/7/23 0:00,,,,15,21,28,24,27,38,28,,,35,50,42,,,,,307,Active
Marino Recreation Center,Marino Center - 2nd Floor,1/7/23 0:00,,,,11,24,26,27,26,26,21,,24,26,30,23,,,,,264,Active
Marino Recreation Center,Marino Center - Track,1/8/23 0:00,,,,1,4,5,4,4,4,4,5,9,12,3,2,3,4,3,,65,Active
Marino Recreation Center,Marino Center - Studio A,1/8/23 0:00,,,,1,4,2,7,5,5,5,4,3,6,1,2,5,3,1,,52,Active
Marino Recreation Center,Marino Center - Studio B,1/8/23 0:00,,,,0,0,2,6,6,6,4,3,3,11,4,3,3,2,0,,53,Active
Marino Recreation Center,Marino Center - Gymnasium,1/8/23 0:00,,,,1,3,14,16,14,17,43,68,67,70,57,47,34,24,23,,497,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,1/8/23 0:00,,,,5,16,32,42,37,38,35,36,51,63,50,33,24,18,19,,498,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,1/8/23 0:00,,,,11,26,35,54,64,56,50,54,61,58,43,30,25,20,17,,601,Active
Marino Recreation Center,Marino Center - 2nd Floor,1/8/23 0:00,,,,10,21,34,40,39,33,18,13,18,21,26,33,27,21,16,,367,Active
Marino Recreation Center,Marino Center - Track,1/9/23 0:00,1,1,4,8,5,4,4,5,6,6,5,8,9,10,11,8,7,5,6,111,Active
Marino Recreation Center,Marino Center - Studio A,1/9/23 0:00,1,2,3,2,6,7,4,8,9,6,12,,,15,19,13,12,8,6,131,Active
Marino Recreation Center,Marino Center - Studio B,1/9/23 0:00,0,2,3,4,6,6,2,9,2,5,6,,,6,29,26,9,4,2,119,Active
Marino Recreation Center,Marino Center - Gymnasium,1/9/23 0:00,0,1,5,7,9,9,8,16,20,16,37,,,41,61,44,58,75,71,476,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,1/9/23 0:00,3,25,38,33,33,32,30,32,54,55,56,55,50,61,55,51,41,38,35,775,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,1/9/23 0:00,11,42,39,43,48,38,48,50,44,49,54,62,75,63,67,51,54,56,50,942,Active
Marino Recreation Center,Marino Center - 2nd Floor,1/9/23 0:00,2,27,45,48,38,35,40,56,44,49,64,,,76,95,69,61,49,39,836,Active
Marino Recreation Center,Marino Center - Track,1/10/23 0:00,3,3,3,6,6,7,8,6,4,5,5,8,5,2,10,19,14,3,,114,Active
Marino Recreation Center,Marino Center - Studio A,1/10/23 0:00,0,2,2,4,7,7,6,,6,3,6,8,9,9,15,7,3,3,,95,Active
